background,justClass,processedRace,processedWeapons
Acolyte,Warlock,Custom,None
Sage,Bard,Human,"Rapier|Dagger|Crossbow, hand"
Urchin,Bard,Human,Rapier|Dagger
Sage,Wizard,Human,Dagger
Hermit,Cleric,Turtle,"Warhammer|Crossbow, Light"
Knight,Fighter,Human,Longsword
Acolyte,Cleric,Dwarf,"Warhammer|Crossbow, Light"
Soldier,Fighter,Dwarf,Warhammer|Handaxe
Soldier,Fighter,Tabaxi,"Greataxe|Morningstar|Crossbow, Light"
Criminal,Barbarian,Half-Orc,Greataxe|Javelin|Shortbow
Knight,Fighter,Human,Whip|Handaxe
Charlatan,Wizard,Tiefling,Dagger
Sailor,Druid,Turtle,Quarterstaff
Sailor,Monk,Turtle,Quarterstaff|Dart|Unarmed Strike
Hermit,Barbarian,Half-Orc,Greataxe|Handaxe|Javelin
Criminal,Rogue,Goblin,Shortsword|Shortbow|Dagger
Entertainer,Warlock,Human,"Crossbow, Light|Dagger"
Outlander,Barbarian,Human,Morningstar|Dagger|Javelin
Noble,Paladin,Aasimar,Battleaxe|Javelin
Outlander,Monk,Elf,Shortsword|Dart|Unarmed Strike
Knight,Fighter,Human,"Greataxe|Longsword|Crossbow, Light"
Criminal,Bard,Human,Rapier|Dagger
Sage,Sorcerer,Dragonborn,"Crossbow, Light|Dagger"
Soldier,Barbarian,Half-Orc,Greataxe|Handaxe|Javelin
Folk Hero,Druid,Half-Elf,Scimitar|Javelin|Quarterstaff|Spear
Outlander,Barbarian,Halfling,Battleaxe|Sling|Javelin
Knight,Fighter,Human,"Scimitar|Crossbow, Light"
Sage,Wizard,Gnome,Dagger
Knight,Paladin,Human,Longsword|Javelin|Javelin|Javelin|Javelin
Soldier,Ranger,Human,Shortsword|Longbow
Outlander,Fighter,Human,Longbow|Rapier|Handaxe
Criminal,Rogue,Human,Shortsword|Dagger|Shortbow
Noble,Barbarian,Elf,Scimitar|Handaxe|Javelin
Charlatan,Rogue,Tiefling,Shortbow|Dagger|Rapier
Criminal,Rogue,Goblin,Shortsword|Shortbow|Dagger
Folk Hero,Fighter,Dragonborn,Warhammer|Handaxe|Pike
Urchin,Cleric,Human,"Mace|Crossbow, Light"
Sage,Wizard,Tiefling,Quarterstaff
Soldier,Fighter,Dragonborn,Warhammer|Handaxe
Noble,Fighter,Human,Longsword|Handaxe
Folk Hero,Druid,Genasi,Club|Scimitar
Sage,Warlock,Half-Elf,Quarterstaff|Sickle|Dagger
Entertainer,Bard,Half-Elf,Longsword|Dagger
Outlander,Monk,Tiefling,Quarterstaff|Dart|Unarmed Strike
Folk Hero,Barbarian,Human,Club
Guild Artisan,Rogue,Human,Shortsword|Dagger
Acolyte,Cleric,Human,Mace
Outlander,Monk,Human,Quarterstaff|Unarmed Strike
Outlander,Monk,Human,Unarmed Strike|Longbow|Longsword
Folk Hero,Bard,Half-Elf,Rapier|Dagger|Scimitar
Outlander,Druid,Halfling,Shortbow|Quarterstaff
Noble,Bard,Half-Elf,"Longsword|Dagger|Rapier|Crossbow, Light"
Urchin,Barbarian,Dragonborn,Greataxe|Handaxe|Javelin
Entertainer,Bard,Halfling,"Rapier|Dagger|Crossbow, Light"
Noble,Sorcerer,Half-Elf,Spear|Dagger
Hermit,Paladin,Human,Javelin
Hermit,Monk,Human,Quarterstaff|Dart|Unarmed Strike
Criminal,Rogue,Tiefling,Shortsword|Shortsword|Dagger
Urchin,Sorcerer,Goblin,Spear|Dagger
Folk Hero,Fighter,Human,"Shortsword|Shortsword|Crossbow, Light"
Hermit,Druid,Dwarf,Scimitar
Acolyte,Cleric,Aasimar,"Mace|Crossbow, Light"
Acolyte,Wizard,Elf,Quarterstaff|Longsword
Outlander,Ranger,Human,Shortsword|Longbow|Whip
Soldier,Paladin,Human,Halberd|Javelin|Dagger|Dagger|Dagger|Dagger
Soldier,Cleric,Half-Elf,"Warhammer|Crossbow, Light"
Urchin,Warlock,Aasimar,Dagger
Sage,Sorcerer,Elf,"Crossbow, Light|Dagger"
Outlander,Fighter,Half-Orc,Warhammer|Handaxe
Charlatan,Rogue,Half-Elf,Rapier|Shortbow|Dagger
Hermit,Ranger,Dragonborn,Javelin|Spear|Longbow|Trident
Entertainer,Bard,Halfling,Rapier|Dagger
Criminal,Druid,Elf,Scimitar
Criminal,Sorcerer,Human,"Crossbow, Light|Dagger"
Folk Hero,Druid,Elf,Club|Shortsword|Dagger
Sage,Fighter,Elf,"Crossbow, Light"
Criminal,Rogue,Tabaxi,Shortsword|Shortbow|Dagger
Sage,Cleric,Dragonborn,Mace|Light hammer
Hermit,Rogue,Human,Rapier|Shortbow|Dagger
Criminal,Fighter,Half-Orc,"Handaxe|Handaxe|Crossbow, Heavy|Scimitar"
Soldier,Fighter,Human,"Longsword|Crossbow, Light"
Outlander,Monk,Dwarf,Shortsword|Dart|Unarmed Strike
Acolyte,Cleric,Half-Elf,Quarterstaff|Sickle
Folk Hero,Paladin,Human,Longsword|Javelin
Outlander,Barbarian,Dwarf,Greataxe|Handaxe|Javelin
Knight,Paladin,Goliath,Javelin
Urchin,Monk,Goblin,Quarterstaff|Dart|Unarmed Strike
Sailor,Barbarian,Human,Javelin
Entertainer,Bard,Tabaxi,Rapier|Dagger
Entertainer,Monk,Half-Orc,Shortsword|Dart|Unarmed Strike
Entertainer,Bard,Dragonborn,Dagger|Scimitar|Dagger
Soldier,Druid,Dwarf,Battleaxe|Whip
Entertainer,Cleric,Halfling,"Mace|Crossbow, Light|Pike"
Acolyte,Druid,Tabaxi,Scimitar
Acolyte,Cleric,Dwarf,"Warhammer|Crossbow, Light"
Acolyte,Monk,Dwarf,Shortsword|Dart|Unarmed Strike
Criminal,Bard,Tiefling,Rapier|Dagger
Noble,Wizard,Human,Quarterstaff
Outlander,Rogue,Halfling,Rapier|Shortbow|Dagger
Criminal,Rogue,Human,Rapier|Shortbow|Dagger
Hermit,Druid,Elf,Scimitar
Entertainer,Bard,Tiefling,Rapier|Dagger
Criminal,Warlock,Human,"Crossbow, Light|Dagger"
Guild Artisan,Wizard,Gnome,Quarterstaff
Hermit,Druid,Half-Elf,Quarterstaff
Noble,Ranger,Human,Shortsword|Longbow
Noble,Fighter,Human,Greataxe|Handaxe|Javelin
Criminal,Rogue,Halfling,Shortsword|Shortbow|Dagger
Noble,Cleric,Half-Elf,"Warhammer|Crossbow, Light"
Noble,Ranger,Human,Shortsword|Longbow
Charlatan,Bard,Dragonborn,Rapier|Dagger
Folk Hero,Paladin,Goliath,Battleaxe|Javelin
Noble,Fighter,Dragonborn,Longsword|Longbow|Greataxe
Noble,Rogue,Human,Rapier|Shortbow|Dagger
Outlander,Barbarian,Human,Greataxe|Handaxe|Javelin
Soldier,Fighter,Dragonborn,"Longsword|Crossbow, Light"
Entertainer,Bard,Tabaxi,Rapier|Dagger
Noble,Sorcerer,Human,"Crossbow, Light|Dagger"
Sailor,Monk,Dwarf,Quarterstaff|Dart|Unarmed Strike
Knight,Fighter,Goliath,"Scimitar|Crossbow, Light"
Outlander,Ranger,Halfling,Shortsword|Longbow
Noble,Monk,Human,Shortsword|Dart|Unarmed Strike
Guild Artisan,Wizard,Gnome,Quarterstaff
Outlander,Ranger,Half-Elf,Shortsword|Longbow
Outlander,Ranger,Half-Elf,Shortsword|Longbow
Noble,Bard,Dragonborn,Longsword|Dagger
Charlatan,Sorcerer,Half-Elf,"Crossbow, Light|Dagger"
Folk Hero,Monk,Elf,Quarterstaff|Dart|Unarmed Strike
Entertainer,Ranger,Tabaxi,Shortsword|Longbow
Hermit,Cleric,Turtle,Mace|Javelin
Folk Hero,Barbarian,Human,Battleaxe|Handaxe|Javelin|Greatsword
Charlatan,Rogue,Tiefling,Rapier|Shortsword|Dagger
Criminal,Bard,Tiefling,Rapier|Dagger
Entertainer,Bard,Dragonborn,Rapier|Dagger
Outlander,Ranger,Firbolg,Quarterstaff|Dagger|Longbow
Criminal,Paladin,Goblin,Rapier
Folk Hero,Bard,Human,Dagger|Dagger
Entertainer,Rogue,Elf,Rapier|Shortbow|Dagger
Entertainer,Rogue,Elf,Shortbow|Longsword
Sage,Wizard,Human,Dagger
Charlatan,Rogue,Human,Shortsword|Shortbow|Dagger
Outlander,Wizard,Elf,Quarterstaff
Urchin,Ranger,Halfling,Shortsword|Longbow
Guild Artisan,Monk,Half-Elf,Quarterstaff|Dart|Unarmed Strike
Outlander,Barbarian,Human,Greataxe|Longsword|Javelin
Outlander,Ranger,Dragonborn,Shortsword|Longbow
Soldier,Fighter,Elf,"Warhammer|Crossbow, Light"
Charlatan,Warlock,Elf,"Crossbow, Light|Dagger"
Soldier,Sorcerer,Human,Quarterstaff|Dagger
Entertainer,Bard,Half-Elf,Longsword|Dagger
Acolyte,Bard,Tiefling,Rapier|Dagger
Sage,Wizard,Human,Quarterstaff|Dagger
Hermit,Monk,Dragonborn,Shortsword|Dart|Unarmed Strike
Outlander,Fighter,Human,Handaxe|Longsword
Criminal,Rogue,Gnome,Rapier|Shortbow|Dagger
Outlander,Barbarian,Dragonborn,Greataxe|Warhammer|Shortbow
Sailor,Cleric,Elf,Warhammer
Outlander,Fighter,Firbolg,"Longbow|Longsword|Longsword|Crossbow, Light|Dagger"
Guild Artisan,Fighter,Firbolg,"Longbow|Longsword|Longsword|Crossbow, Light"
Folk Hero,Sorcerer,Half-Elf,Dagger
Outlander,Cleric,Dwarf,"Warhammer|Crossbow, Light"
Sage,Wizard,Half-Elf,Dagger
Urchin,Fighter,Elf,Pike|Javelin
Noble,Paladin,Dragonborn,"Greatsword|Warhammer|Crossbow, Heavy|Handaxe"
Noble,Rogue,Half-Elf,Rapier|Shortbow|Dagger
Folk Hero,Druid,Dwarf,Handaxe|Quarterstaff
Soldier,Fighter,Dwarf,Battleaxe|Warhammer|Handaxe
Urchin,Monk,Human,Quarterstaff|Dart|Unarmed Strike
Sage,Wizard,Turtle,Quarterstaff
Criminal,Rogue,Tabaxi,Shortbow|Dagger|Rapier
Entertainer,Bard,Elf,Rapier|Dagger|Shortbow
Criminal,Warlock,Elf,"Crossbow, Light|Dagger"
Sailor,Barbarian,Halfling,Club|Dagger|Battleaxe
Hermit,Fighter,Elf,Longbow|Battleaxe|Handaxe
Urchin,Rogue,Tabaxi,"Shortsword|Shortbow|Dagger|Dagger|Crossbow, Light"
Charlatan,Rogue,Goliath,Rapier|Shortbow|Dagger
Acolyte,Druid,Firbolg,Scimitar
Hermit,Wizard,Half-Elf,Quarterstaff
Entertainer,Warlock,Tabaxi,"Crossbow, Light|Dagger|Quarterstaff"
Sailor,Barbarian,Goliath,Maul|Handaxe
Sailor,Bard,Human,"Crossbow, Light|Dagger|Crossbow, hand|Crossbow, hand|Crossbow, Heavy"
Sailor,Rogue,Tabaxi,Rapier|Shortbow|Dagger
Noble,Warlock,Tiefling,Quarterstaff|Sickle|Dagger
Noble,Fighter,Elf,"Rapier|Crossbow, Light"
Outlander,Monk,Dragonborn,Shortsword|Dart|Unarmed Strike
Charlatan,Sorcerer,Goblin,"Crossbow, Light|Dagger"
Criminal,Paladin,Tiefling,Longsword|Javelin
Hermit,Rogue,Elf,Rapier|Shortbow|Dagger
Hermit,Druid,Firbolg,Quarterstaff|Scimitar
Folk Hero,Druid,Firbolg,Dagger|Scimitar
Criminal,Rogue,Elf,Shortsword|Shortbow|Dagger|Dagger
Outlander,Druid,Elf,Scimitar|Longbow
Outlander,Fighter,Human,Battleaxe|Longbow
Noble,Sorcerer,Half-Elf,Quarterstaff|Dagger
Criminal,Rogue,Tiefling,Shortsword|Shortbow|Dagger
Urchin,Rogue,Elf,Shortsword|Shortsword|Dagger
Soldier,Druid,Half-Elf,None
Soldier,Fighter,Elf,"Longbow|Scimitar|Scimitar|Crossbow, Light"
Soldier,Rogue,Human,Shortsword|Shortsword|Dagger
Soldier,Fighter,Human,"Longsword|Crossbow, Light"
Urchin,Barbarian,Half-Orc,Greataxe|Handaxe|Javelin
Charlatan,Bard,Gnome,Rapier|Dagger|Shortbow
Hermit,Druid,Tiefling,Scimitar|Sling
Folk Hero,Monk,Half-Elf,Spear|Dart|Unarmed Strike
Acolyte,Wizard,Elf,Quarterstaff
Acolyte,Fighter,Human,Longsword|Longbow
Hermit,Rogue,Halfling,Rapier|Shortbow|Dagger|Shortsword
Sage,Cleric,Human,"Mace|Crossbow, Light"
Sailor,Sorcerer,Elf,"Crossbow, Light|Dagger"
Criminal,Fighter,Dwarf,"Crossbow, Light|Battleaxe|Shortsword"
Sage,Sorcerer,Dragonborn,"Crossbow, Light|Dagger|Quarterstaff"
Urchin,Rogue,Elf,Shortsword|Shortbow|Dagger
Knight,Fighter,Human,"Longsword|Crossbow, Light"
Sage,Sorcerer,Elf,Quarterstaff|Dagger
Entertainer,Bard,Tiefling,Rapier|Dagger
Guild Artisan,Bard,Dwarf,Longsword|Dagger
Soldier,Fighter,Human,Glaive|Javelin
Outlander,Warlock,Firbolg,"Crossbow, Light|Dagger"
Charlatan,Bard,Half-Elf,"Rapier|Dagger|Crossbow, hand"
Outlander,Ranger,Halfling,Javelin|Javelin|Longbow
Acolyte,Sorcerer,Half-Elf,"Crossbow, Light|Dagger"
Soldier,Fighter,Dragonborn,Longsword|Warhammer|Handaxe
Hermit,Druid,Elf,Scimitar
Criminal,Cleric,Tiefling,"Mace|Crossbow, Light"
Criminal,Rogue,Halfling,Rapier|Shortbow|Dagger
Urchin,Monk,Human,Shortsword|Dart|Unarmed Strike
Entertainer,Bard,Dragonborn,Rapier|Dagger
Soldier,Fighter,Human,Longsword|Handaxe
Charlatan,Rogue,Dwarf,Shortsword|Shortbow|Dagger
Charlatan,Bard,Human,Quarterstaff|Dagger
Entertainer,Bard,Human,Rapier|Dagger
Outlander,Ranger,Elf,Spear|Dagger|Longbow
Outlander,Warlock,Tiefling,Dagger
Sage,Wizard,Gnome,Dagger
Acolyte,Cleric,Dwarf,"Mace|Crossbow, Light"
Charlatan,Rogue,Halfling,Rapier|Shortbow|Dagger
Outlander,Druid,Firbolg,None
Sage,Rogue,Warforged,Rapier|Shortbow|Dagger
Outlander,Ranger,Human,Unarmed Strike
Outlander,Rogue,Goblin,Shortsword|Shortbow|Dagger
Entertainer,Sorcerer,Gnome,"Crossbow, Light|Dagger"
Soldier,Fighter,Human,"Greataxe|Lance|Crossbow, Light"
Urchin,Rogue,Elf,Rapier|Shortbow|Dagger
Noble,Paladin,Human,Longsword|Longsword|Longsword|Longbow
Acolyte,Cleric,Firbolg,Mace|Dagger|Longsword
Charlatan,Monk,Human,Dart|Unarmed Strike|Whip
Outlander,Barbarian,Goliath,Greataxe|Handaxe|Javelin
Hermit,Druid,Human,Scimitar
Noble,Fighter,Human,"Longsword|Crossbow, Light"
Knight,Fighter,Goliath,"Greatsword|Crossbow, Heavy|Handaxe"
Acolyte,Cleric,Turtle,Mace|Light hammer
Entertainer,Monk,Human,Quarterstaff|Dart|Unarmed Strike
Soldier,Paladin,Dragonborn,Longsword|Javelin
Soldier,Paladin,Dragonborn,Longsword|Javelin
Criminal,Sorcerer,Tiefling,"Crossbow, Light|Dagger"
Hermit,Monk,Elf,Shortsword|Dart|Unarmed Strike
Soldier,Ranger,Dwarf,Handaxe|Handaxe|Longbow
Entertainer,Sorcerer,Tiefling,Spear|Dagger
Sage,Druid,Goblin,Scimitar
Noble,Sorcerer,Genasi,Dagger|Dagger
Noble,Fighter,Human,Glaive|Pike|Handaxe
Outlander,Druid,Halfling,Scimitar
Soldier,Fighter,Human,Rapier|Shortsword|Handaxe
Acolyte,Bard,Tiefling,Mace|Dagger
Noble,Rogue,Human,Rapier|Shortbow|Dagger
Sailor,Wizard,Elf,Dagger
Criminal,Barbarian,Dragonborn,Greataxe|Handaxe|Javelin
Hermit,Ranger,Gnome,Shortsword|Longbow
Guild Artisan,Paladin,Custom,Longsword|Javelin
Noble,Barbarian,Elf,Halberd|Dagger|Javelin
Urchin,Monk,Elf,Shortsword|Unarmed Strike|Longbow|Dagger|Dagger
Guild Artisan,Cleric,Halfling,"Mace|Crossbow, Light"
Criminal,Warlock,Tiefling,"Crossbow, Light|Dagger"
Sailor,Druid,Human,Javelin|Quarterstaff
Soldier,Barbarian,Dwarf,Greataxe|Javelin
Noble,Wizard,Human,Quarterstaff
Sage,Wizard,Elf,Dagger
Acolyte,Cleric,Tiefling,"Warhammer|Crossbow, Light"
Acolyte,Wizard,Goblin,Dagger
Criminal,Rogue,Halfling,Rapier|Shortbow|Dagger
Folk Hero,Paladin,Human,Warhammer
Hermit,Monk,Human,Quarterstaff|Dart|Unarmed Strike
Soldier,Barbarian,Turtle,Greataxe|Handaxe|Javelin
Knight,Monk,Human,Shortsword|Dart|Unarmed Strike
Acolyte,Cleric,Elf,"Mace|Crossbow, Light"
Acolyte,Warlock,Half-Elf,Quarterstaff|Shortbow|Dagger|Spear
Acolyte,Cleric,Half-Orc,"Mace|Crossbow, Light"
Sailor,Monk,Tabaxi,Quarterstaff|Dart|Unarmed Strike
Folk Hero,Monk,Half-Orc,Dart|Unarmed Strike|Quarterstaff
Outlander,Monk,Half-Orc,Unarmed Strike|Shortsword|Dart
Hermit,Druid,Half-Elf,Spear|Handaxe
Acolyte,Cleric,Human,"Warhammer|Crossbow, Light"
Noble,Sorcerer,Human,Quarterstaff|Dagger
Hermit,Monk,Human,Quarterstaff|Dart|Unarmed Strike
Outlander,Ranger,Goliath,Longbow|Greataxe
Soldier,Ranger,Human,Shortsword|Longbow
Acolyte,Barbarian,Dragonborn,Greataxe|Handaxe|Javelin
Acolyte,Rogue,Half-Elf,Rapier|Shortbow|Dagger
Folk Hero,Paladin,Aasimar,Longsword|Javelin
Knight,Fighter,Aasimar,Longsword|Shortsword|Longbow
Charlatan,Rogue,Goblin,Shortsword|Shortbow|Dagger
Hermit,Monk,Human,Club|Dart|Unarmed Strike
Sage,Druid,Firbolg,Quarterstaff|Javelin|Sling
Sailor,Bard,Tabaxi,Rapier|Dagger
Soldier,Rogue,Human,Rapier|Shortbow|Dagger
Knight,Fighter,Half-Orc,Shortsword|Shortsword|Handaxe
Folk Hero,Rogue,Elf,Rapier|Shortbow|Dagger
Entertainer,Bard,Goliath,Longsword|Dagger
Hermit,Barbarian,Turtle,Greataxe|Handaxe|Javelin
Charlatan,Rogue,Tabaxi,Rapier|Shortbow|Dagger
Guild Artisan,Monk,Firbolg,Quarterstaff|Dart|Unarmed Strike
Charlatan,Warlock,Half-Elf,Dagger|Shortsword
Folk Hero,Paladin,Tiefling,Glaive|Scimitar|Javelin
Criminal,Rogue,Turtle,Rapier|Shortbow|Dagger
Folk Hero,Bard,Goblin,Rapier|Dagger
Charlatan,Cleric,Halfling,Mace
Knight,Fighter,Dwarf,Longsword
Acolyte,Wizard,Tiefling,Quarterstaff
Noble,Ranger,Elf,Shortsword|Longbow|Shortsword
Sailor,Druid,Genasi,Dagger|Scimitar
Outlander,Paladin,Firbolg,Flail
Entertainer,Bard,Halfling,Rapier|Dagger
Folk Hero,Artificer,Human,"Greatclub|Handaxe|Crossbow, Light"
Acolyte,Paladin,Human,Warhammer|Javelin
Outlander,Ranger,Half-Orc,Handaxe|Light hammer|Longbow
Folk Hero,Barbarian,Half-Orc,Greataxe|Handaxe|Javelin
Folk Hero,Druid,Firbolg,None
Urchin,Bard,Human,"Crossbow, Light|Dagger|Rapier|Dagger"
Sage,Wizard,Elf,Quarterstaff
Outlander,Ranger,Elf,Shortsword|Longbow
Urchin,Rogue,Tabaxi,Rapier|Shortbow|Dagger
Acolyte,Cleric,Dwarf,"Warhammer|Crossbow, Light"
Hermit,Druid,Goblin,Scimitar
Acolyte,Cleric,Human,"Mace|Crossbow, Light"
Outlander,Fighter,Half-Orc,Maul|Warhammer
Soldier,Fighter,Human,Longsword|Glaive|Handaxe
Guild Artisan,Ranger,Tabaxi,Shortsword|Longbow
Charlatan,Rogue,Half-Elf,Shortbow|Dagger|Rapier
Sage,Artificer,Gnome,"Club|Dagger|Crossbow, Light"
Urchin,Cleric,Elf,"Warhammer|Crossbow, Light"
Acolyte,Cleric,Tiefling,Mace|Mace
Noble,Wizard,Elf,Quarterstaff
Acolyte,Sorcerer,Half-Elf,Dagger|Dagger
Sailor,Fighter,Dragonborn,"Longsword|Crossbow, Light"
Outlander,Ranger,Elf,Shortsword|Longbow
Acolyte,Cleric,Human,"Mace|Crossbow, Light"
Criminal,Barbarian,Goliath,Greatsword|Greatclub|Javelin
Charlatan,Sorcerer,Human,"Crossbow, Light|Dagger|Dagger"
Hermit,Cleric,Human,Mace|Sling
Hermit,Ranger,Firbolg,Shortsword|Longbow
Sage,Druid,Turtle,Quarterstaff
Criminal,Rogue,Elf,Shortsword|Shortbow|Dagger
Hermit,Druid,Half-Elf,Spear|Dart
Entertainer,Druid,Halfling,Scimitar|Scimitar|Handaxe
Soldier,Fighter,Dwarf,"Spear|Handaxe|Crossbow, Light"
Outlander,Ranger,Tiefling,Shortsword|Longbow|Quarterstaff
Criminal,Rogue,Halfling,Shortsword|Shortbow|Dagger
Outlander,Ranger,Elf,Dagger|Quarterstaff|Longbow
Acolyte,Paladin,Human,Longsword|Javelin
Urchin,Bard,Half-Elf,Shortsword|Shortsword|Shortbow
Criminal,Rogue,Human,Rapier|Shortbow|Dagger
Soldier,Paladin,Dragonborn,Warhammer|Javelin
Soldier,Cleric,Elf,Mace
Noble,Warlock,Half-Elf,Dagger|Dagger|Dagger
Sage,Druid,Tabaxi,Dagger|Spear
Guild Artisan,Fighter,Elf,Dagger|Dagger|Unarmed Strike
Noble,Paladin,Human,Greatsword|Halberd|Javelin
Guild Artisan,Paladin,Dragonborn,Battleaxe|Javelin
Soldier,Paladin,Dragonborn,Warhammer|Javelin
Hermit,Wizard,Halfling,Quarterstaff
Charlatan,Bard,Dwarf,Longsword|Dagger
Acolyte,Cleric,Human,"Mace|Crossbow, Light"
Noble,Rogue,Human,Shortsword|Shortbow|Dagger
Criminal,Rogue,Human,Shortsword|Shortbow|Dagger
Charlatan,Warlock,Tiefling,"Crossbow, Light|Dagger"
Soldier,Artificer,Dwarf,"Crossbow, Light|Battleaxe|Warhammer"
Urchin,Bard,Elf,Rapier|Dagger
Sailor,Bard,Human,Rapier|Dagger
Soldier,Fighter,Dwarf,Battleaxe|Flail|Handaxe|Longbow
Soldier,Fighter,Dwarf,Battleaxe|Flail|Handaxe|Longbow
Folk Hero,Monk,Human,Quarterstaff|Dart|Unarmed Strike
Criminal,Rogue,Human,Rapier|Shortbow|Dagger
Hermit,Druid,Human,None
Soldier,Fighter,Human,Greatsword|Trident|Handaxe
Urchin,Rogue,Half-Elf,"Shortsword|Dagger|Crossbow, Light"
Noble,Wizard,Elf,Shortsword
Hermit,Druid,Dwarf,None
Hermit,Ranger,Elf,Shortsword|Longbow
Soldier,Fighter,Warforged,Handaxe|Longsword|Longbow
Outlander,Ranger,Warforged,Shortsword|Longbow
Guild Artisan,Barbarian,Dwarf,Greataxe|Handaxe|Javelin
Acolyte,Warlock,Tiefling,"Crossbow, Light|Dagger|Dagger"
Criminal,Rogue,Elf,Shortbow|Dagger|Scimitar
Hermit,Druid,Gnome,Quarterstaff
Sage,Druid,Gnome,Scimitar
Hermit,Monk,Gnome,Javelin|Dart|Unarmed Strike
Criminal,Sorcerer,Tiefling,Quarterstaff|Dagger
Hermit,Fighter,Elf,Longbow|Shortsword|Handaxe|Scimitar
Guild Artisan,Artificer,Gnome,"Mace|Crossbow, Light"
Soldier,Fighter,Dragonborn,Scimitar|Handaxe
Noble,Warlock,Half-Elf,"Crossbow, Light|Dagger"
Hermit,Sorcerer,Half-Elf,Quarterstaff|Dagger
Soldier,Barbarian,Human,Greatsword|Handaxe|Javelin
Guild Artisan,Cleric,Elf,Mace|Greatclub
Charlatan,Warlock,Dwarf,Light hammer|Dagger
Criminal,Rogue,Elf,Shortsword|Shortbow|Dagger
Acolyte,Cleric,Dragonborn,"Mace|Crossbow, Light"
Knight,Fighter,Half-Elf,Rapier|Shortsword
Guild Artisan,Cleric,Dwarf,"Mace|Crossbow, Light"
Folk Hero,Bard,Half-Elf,Shortbow|Dagger
Charlatan,Warlock,Tiefling,"Crossbow, Light|Dagger"
Acolyte,Paladin,Tiefling,Longsword|Javelin
Outlander,Barbarian,Half-Orc,Warhammer|Handaxe|Javelin
Hermit,Monk,Half-Elf,Shortsword|Dart|Unarmed Strike
Hermit,Druid,Half-Elf,Scimitar
Noble,Paladin,Human,Longsword|Javelin
Soldier,Cleric,Dwarf,"Warhammer|Warhammer|Crossbow, Light|Dagger"
Entertainer,Paladin,Warforged,Battleaxe|Javelin
Outlander,Druid,Tabaxi,Scimitar
Hermit,Monk,Tabaxi,Dart|Unarmed Strike
Acolyte,Sorcerer,Aasimar,"Crossbow, Light|Dagger"
Soldier,Paladin,Aasimar,Longsword|Javelin
Urchin,Monk,Tabaxi,Shortsword|Dart|Unarmed Strike
Criminal,Fighter,Half-Orc,Battleaxe|Handaxe
Urchin,Fighter,Halfling,"Shortbow|Rapier|Flail|Crossbow, Light"
Folk Hero,Druid,Firbolg,None
Acolyte,Cleric,Human,Warhammer|Flail
Hermit,Cleric,Half-Orc,"Mace|Crossbow, Light"
Hermit,Monk,Elf,Unarmed Strike|Shortsword
Criminal,Rogue,Elf,Rapier|Shortbow|Dagger
Sage,Wizard,Elf,Quarterstaff
Acolyte,Cleric,Half-Elf,"Mace|Crossbow, Light"
Noble,Fighter,Dragonborn,"Crossbow, Light|Longsword"
Criminal,Fighter,Human,"Longbow|Crossbow, hand|Rapier|Handaxe"
Knight,Fighter,Dragonborn,"Battleaxe|Shortsword|Crossbow, Light"
Noble,Paladin,Human,Longsword|Javelin
Criminal,Paladin,Tiefling,Halberd|Greatsword|Dagger
Criminal,Rogue,Human,Shortsword|Shortsword|Dagger
Acolyte,Cleric,Dwarf,"Warhammer|Crossbow, Light|Light hammer|Battleaxe"
Charlatan,Cleric,Tiefling,Mace|Dagger
Folk Hero,Fighter,Halfling,"Rapier|Crossbow, Light"
Guild Artisan,Cleric,Dragonborn,Mace
Soldier,Rogue,Human,Shortsword|Shortbow|Dagger
Acolyte,Fighter,Human,Longbow|Greatsword|Battleaxe|Handaxe
Sage,Cleric,Human,"Longsword|Crossbow, Light"
Soldier,Fighter,Human,Greatsword|Longbow
Criminal,Rogue,Dwarf,Shortsword|Shortbow|Dagger
Folk Hero,Cleric,Turtle,"Mace|Crossbow, Light"
Hermit,Cleric,Dwarf,Warhammer|Battleaxe
Soldier,Fighter,Human,"War pick|Crossbow, Light|Longsword"
Outlander,Paladin,Half-Orc,Mace|Warhammer
Criminal,Fighter,Elf,Longbow|Shortsword|Shortsword
Entertainer,Bard,Half-Elf,Sling|Dagger
Hermit,Druid,Half-Orc,Javelin|Greatclub
Charlatan,Rogue,Dwarf,Rapier|Shortbow|Dagger
Soldier,Paladin,Half-Elf,Javelin|Longsword
Acolyte,Warlock,Tabaxi,"Crossbow, Light|Dagger"
Criminal,Fighter,Elf,Longbow|Shortsword|Shortsword
Entertainer,Bard,Elf,"Longsword|Dagger|Crossbow, Light"
Hermit,Druid,Elf,Club|Shortbow
Charlatan,Warlock,Halfling,Dagger
Outlander,Druid,Half-Orc,Handaxe|Scimitar
Entertainer,Bard,Human,Longsword|Dagger
Noble,Paladin,Dragonborn,Flail|Javelin
Charlatan,Bard,Human,Rapier|Dagger
Soldier,Fighter,Human,"Warhammer|Crossbow, Light"
Sailor,Barbarian,Genasi,Greataxe|Handaxe|Javelin
Sage,Warlock,Tiefling,Sickle|Dagger|Dagger
Soldier,Fighter,Dragonborn,Halberd|Shortsword|Handaxe
Criminal,Rogue,Human,"Shortsword|Dagger|Crossbow, hand|Crossbow, Light"
Noble,Sorcerer,Elf,Quarterstaff|Dagger
Criminal,Bard,Half-Elf,Rapier|Dagger
